,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd
0,1,2013,3,1,0,3.0,6.0,13.0,7.0,300.0,85.0,-2.3,1020.8,-19.7,0.0,0.5,E
1,2,2013,3,1,1,3.0,3.0,6.0,6.0,300.0,85.0,-2.5,1021.3,-19.0,0.0,0.7,ENE
2,3,2013,3,1,2,3.0,3.0,22.0,13.0,400.0,74.0,-3.0,1021.3,-19.9,0.0,0.2,ENE
3,4,2013,3,1,3,3.0,6.0,12.0,8.0,300.0,81.0,-3.6,1021.8,-19.1,0.0,1.0,NNE
4,5,2013,3,1,4,3.0,3.0,14.0,8.0,300.0,81.0,-3.5,1022.3,-19.4,0.0,2.1,N
5,6,2013,3,1,5,3.0,3.0,10.0,17.0,400.0,71.0,-4.5,1022.6,-19.5,0.0,1.7,NNW
6,7,2013,3,1,6,4.0,6.0,12.0,22.0,500.0,65.0,-4.5,1023.4,-19.5,0.0,1.8,NNW
7,8,2013,3,1,7,3.0,6.0,25.0,39.0,600.0,48.0,-2.1,1024.6,-20.0,0.0,2.5,NW
8,9,2013,3,1,8,9.0,25.0,13.0,42.0,700.0,46.0,-0.2,1025.2,-20.5,0.0,2.8,NNW
9,10,2013,3,1,9,11.0,29.0,5.0,18.0,500.0,73.0,0.6,1025.3,-20.4,0.0,3.75,NNW
10,11,2013,3,1,10,9.0,10.0,3.0,10.0,300.0,83.0,2.0,1025.1,-21.3,0.0,2.2,N
11,12,2013,3,1,11,3.0,3.0,4.0,9.0,300.0,81.0,3.6,1024.8,-20.7,0.0,2.7,NNE
12,13,2013,3,1,12,3.0,6.0,4.0,8.0,300.0,90.0,4.8,1023.8,-19.7,0.0,3.0,N
14,15,2013,3,1,14,9.0,60.0,5.0,6.0,300.0,94.0,5.9,1022.6,-20.5,0.0,3.6,N
15,16,2013,3,1,15,3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,0.0,3.2,N
16,17,2013,3,1,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,2.2,NE
17,18,2013,3,1,17,6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,2.0,ENE
18,19,2013,3,1,18,4.0,17.0,29.5,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,3.6,NE
19,20,2013,3,1,19,7.0,19.0,29.5,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,1.7,ENE
20,21,2013,3,1,20,8.0,21.0,23.0,14.0,300.0,80.0,1.1,1025.9,-18.3,0.0,1.7,NE
21,22,2013,3,1,21,7.0,16.0,29.5,19.0,300.0,74.0,1.6,1026.7,-17.4,0.0,2.3,E
22,23,2013,3,1,22,5.0,13.0,25.0,16.0,300.0,76.0,0.4,1027.2,-17.4,0.0,0.0,E
24,25,2013,3,2,0,11.0,13.0,23.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,0.0,3.0,SW
25,26,2013,3,2,1,12.0,10.0,24.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,0.0,0.9,SSW
29,30,2013,3,2,5,13.0,13.0,29.5,57.0,600.0,28.0,-3.5,1026.9,-16.8,0.0,0.5,N
30,31,2013,3,2,6,16.0,15.0,29.5,66.0,900.0,16.0,-3.5,1026.1,-15.8,0.0,0.9,NNE
31,32,2013,3,2,7,19.0,25.0,29.5,63.0,900.0,18.0,-3.3,1026.7,-14.4,0.0,0.9,NNW
32,33,2013,3,2,8,22.0,26.0,29.5,66.0,1100.0,14.0,-2.0,1026.4,-15.1,0.0,1.0,NNE
34,35,2013,3,2,10,46.0,70.0,29.5,54.0,900.0,29.0,0.6,1025.8,-17.2,0.0,1.3,SW
35,36,2013,3,2,11,30.0,33.0,29.5,61.0,800.0,28.0,1.3,1025.4,-17.1,0.0,1.1,ESE
36,37,2013,3,2,12,31.0,41.0,29.5,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,1.6,WSW
37,38,2013,3,2,13,30.0,34.0,29.5,50.0,700.0,42.0,2.3,1022.6,-17.3,0.0,0.2,SE
43,44,2013,3,2,19,47.0,60.0,29.5,76.0,1000.0,18.0,0.3,1020.0,-15.3,0.0,0.6,NE
48,49,2013,3,3,0,73.0,87.0,29.5,76.0,1500.0,7.0,-2.4,1017.4,-13.0,0.0,1.0,N
49,50,2013,3,3,1,50.0,60.0,29.5,73.0,1399.0,7.0,-3.8,1016.5,-12.2,0.0,1.4,NNW
50,51,2013,3,3,2,60.0,62.0,29.5,75.0,1500.0,7.0,-3.8,1015.1,-12.7,0.0,0.8,NNE
51,52,2013,3,3,3,60.0,63.0,29.5,74.0,1600.0,7.0,-4.0,1014.1,-13.4,0.0,0.7,NE
52,53,2013,3,3,4,64.0,66.0,29.5,69.0,1200.0,6.0,-4.8,1013.6,-13.2,0.0,0.2,NNE
53,54,2013,3,3,5,56.0,58.0,29.5,71.0,1300.0,6.0,-5.6,1013.2,-13.0,0.0,0.5,ENE
54,55,2013,3,3,6,53.0,59.0,24.0,68.0,1399.0,6.0,-5.7,1013.2,-13.1,0.0,0.0,NE
55,56,2013,3,3,7,52.0,62.0,25.0,68.0,1700.0,6.0,-3.3,1013.5,-12.8,0.0,0.8,NE
63,64,2013,3,3,15,68.0,128.0,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,0.0,2.3,NW
64,65,2013,3,3,16,32.0,90.0,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,0.0,0.7,ENE
65,66,2013,3,3,17,21.0,71.0,27.0,21.0,400.0,76.0,13.9,1007.6,-14.1,0.0,0.6,SSE
66,67,2013,3,3,18,16.0,33.0,17.0,22.0,400.0,72.0,12.4,1009.0,-14.4,0.0,0.8,E
67,68,2013,3,3,19,18.0,43.0,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,0.0,0.9,NW
68,69,2013,3,3,20,24.0,56.0,27.0,46.0,800.0,45.0,7.7,1010.1,-12.2,0.0,0.5,ENE
69,70,2013,3,3,21,29.0,55.0,27.0,42.0,700.0,47.0,6.9,1010.6,-12.3,0.0,0.7,N
70,71,2013,3,3,22,23.0,46.0,25.0,69.0,1300.0,19.0,6.8,1011.2,-11.9,0.0,1.5,NE
71,72,2013,3,3,23,30.0,78.0,14.0,24.0,700.0,52.0,8.6,1012.1,-11.4,0.0,2.0,NE
72,73,2013,3,4,0,25.0,42.0,29.5,22.0,400.0,57.0,9.2,1013.2,-12.6,0.0,2.4,ENE
73,74,2013,3,4,1,16.0,38.0,24.0,13.0,300.0,72.0,7.3,1014.2,-12.5,0.0,2.1,NE
74,75,2013,3,4,2,8.0,31.0,29.0,14.0,300.0,74.0,6.1,1014.4,-13.5,0.0,1.4,NW
75,76,2013,3,4,3,6.0,20.0,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,0.0,3.75,N
76,77,2013,3,4,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,2.6,NW
79,80,2013,3,4,7,12.0,28.0,29.5,38.0,700.0,42.0,6.3,1016.8,-12.3,0.0,0.8,N
80,81,2013,3,4,8,12.0,32.0,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,0.0,1.6,ENE
81,82,2013,3,4,9,16.0,29.0,21.0,19.0,500.0,65.0,10.2,1017.6,-13.8,0.0,3.75,NW
82,83,2013,3,4,10,14.0,23.0,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,0.0,3.75,NNW
84,85,2013,3,4,12,8.0,22.0,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,0.0,3.5,NNW
85,86,2013,3,4,13,14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,0.0,3.4,NNW
86,87,2013,3,4,14,11.0,13.0,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,0.0,3.0,NW
87,88,2013,3,4,15,21.0,24.0,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,0.0,2.3,NW
88,89,2013,3,4,16,10.0,17.0,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,0.0,3.3,SSW
89,90,2013,3,4,17,13.0,15.0,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,0.0,2.6,SSW
90,91,2013,3,4,18,17.0,29.0,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,0.0,1.2,SSW
91,92,2013,3,4,19,32.0,54.0,29.5,63.0,700.0,57.0,8.7,1013.2,-12.5,0.0,0.5,ENE
93,94,2013,3,4,21,64.0,99.0,29.5,88.0,1500.0,18.0,4.9,1013.4,-11.7,0.0,0.8,ESE
94,95,2013,3,4,22,76.0,123.0,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,0.0,0.6,E
95,96,2013,3,4,23,54.0,75.0,21.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,0.0,0.8,ESE
96,97,2013,3,5,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,0.4,ENE
97,98,2013,3,5,1,48.0,57.0,29.5,66.0,1600.0,95.0,1.8,1011.7,-11.0,0.0,0.6,NNE
98,99,2013,3,5,2,65.0,99.0,29.5,54.0,1399.0,95.0,0.8,1011.4,-10.7,0.0,0.6,N
99,100,2013,3,5,3,60.0,75.0,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,0.0,0.2,N
100,101,2013,3,5,4,46.0,54.0,29.5,75.0,2150.0,95.0,-0.1,1010.7,-10.1,0.0,0.8,N
101,102,2013,3,5,5,72.0,113.0,29.5,61.0,1600.0,95.0,-0.4,1010.9,-9.6,0.0,0.0,NNE
102,103,2013,3,5,6,56.0,78.0,29.5,53.0,1100.0,95.0,-1.0,1010.6,-9.4,0.0,0.8,NE
103,104,2013,3,5,7,51.0,66.0,29.5,69.0,2000.0,95.0,1.2,1010.4,-9.4,0.0,0.0,NE
104,105,2013,3,5,8,68.0,105.0,29.5,66.0,1600.0,95.0,6.0,1010.1,-10.7,0.0,0.8,SW
174,175,2013,3,8,6,163.5,211.0,29.5,36.0,700.0,65.0,12.7,996.2,-5.4,0.0,1.7,ESE
181,182,2013,3,8,13,153.0,202.0,29.5,75.0,1500.0,77.0,21.9,994.7,-4.3,0.0,3.0,SE
194,195,2013,3,9,2,102.0,132.0,29.5,51.0,1800.0,107.0,3.0,991.2,-2.7,0.0,0.7,N
195,196,2013,3,9,3,107.0,128.0,28.0,43.0,1500.0,107.0,2.4,989.8,-2.9,0.0,1.2,NNW
196,197,2013,3,9,4,97.0,112.0,29.5,40.0,1399.0,107.0,1.9,988.9,-3.0,0.0,0.7,NNE
211,212,2013,3,9,19,13.0,83.0,17.0,13.0,400.0,94.0,5.7,1015.1,-19.8,0.0,3.3,NNE
212,213,2013,3,9,20,12.0,64.0,13.0,10.0,300.0,94.0,5.0,1017.0,-19.6,0.0,2.5,NNE
213,214,2013,3,9,21,8.0,55.0,18.0,12.0,300.0,94.0,4.8,1017.7,-19.7,0.0,3.3,NNE
214,215,2013,3,9,22,14.0,29.0,3.0,7.0,400.0,94.0,3.8,1018.1,-19.8,0.0,1.2,N
215,216,2013,3,9,23,8.0,22.0,3.0,8.0,400.0,94.0,3.4,1018.0,-20.1,0.0,1.1,NE
216,217,2013,3,10,0,12.0,20.0,3.0,10.0,500.0,94.0,4.4,1017.8,-20.1,0.0,2.0,NW
217,218,2013,3,10,1,13.0,19.0,7.0,14.0,500.0,94.0,4.9,1018.1,-20.4,0.0,3.0,NW
218,219,2013,3,10,2,10.0,11.0,8.0,15.0,600.0,94.0,4.5,1017.9,-20.0,0.0,3.3,NW
220,221,2013,3,10,4,3.0,8.0,11.0,24.0,400.0,94.0,4.7,1018.6,-19.8,0.0,3.0,NW
221,222,2013,3,10,5,3.0,14.0,19.0,19.0,300.0,94.0,4.3,1018.8,-20.1,0.0,3.3,NW
222,223,2013,3,10,6,10.0,13.0,22.0,20.0,300.0,94.0,3.6,1018.9,-18.6,0.0,1.2,ESE
223,224,2013,3,10,7,12.0,18.0,27.0,43.0,500.0,94.0,5.7,1019.8,-19.0,0.0,3.3,WNW
224,225,2013,3,10,8,20.0,46.0,29.5,67.0,1100.0,94.0,8.0,1019.8,-18.8,0.0,2.8,NW
225,226,2013,3,10,9,16.0,17.0,14.0,31.0,600.0,94.0,9.4,1019.2,-18.7,0.0,3.2,NNW
226,227,2013,3,10,10,6.0,10.0,9.0,16.0,400.0,94.0,10.6,1018.4,-16.8,0.0,2.5,S
227,228,2013,3,10,11,12.0,32.0,14.0,25.0,400.0,94.0,10.4,1018.1,-16.9,0.0,2.0,SE
228,229,2013,3,10,12,21.0,48.0,12.0,24.0,400.0,94.0,11.3,1017.1,-17.2,0.0,3.6,S
229,230,2013,3,10,13,20.0,36.0,11.0,20.0,500.0,94.0,12.1,1016.0,-16.5,0.0,2.8,SSW
230,231,2013,3,10,14,22.0,37.0,12.0,19.0,400.0,92.0,11.9,1015.1,-15.7,0.0,3.7,S
231,232,2013,3,10,15,27.0,45.0,11.0,19.0,400.0,103.0,11.7,1014.7,-15.9,0.0,3.75,S
232,233,2013,3,10,16,40.0,69.0,13.0,22.0,400.0,103.0,10.9,1014.5,-14.8,0.0,1.2,SSW
233,234,2013,3,10,17,41.0,75.0,29.5,28.0,500.0,103.0,9.5,1014.6,-15.1,0.0,3.2,SSW
235,236,2013,3,10,19,51.0,102.0,29.5,44.0,600.0,103.0,7.2,1015.5,-13.1,0.0,1.3,ESE
236,237,2013,3,10,20,69.0,118.0,29.0,73.0,900.0,103.0,5.8,1015.7,-12.8,0.0,0.8,E
237,238,2013,3,10,21,80.0,118.0,29.5,68.0,1100.0,103.0,4.7,1015.7,-12.3,0.0,1.0,ENE
238,239,2013,3,10,22,95.0,131.0,29.5,81.0,1300.0,103.0,4.2,1015.5,-12.3,0.0,0.0,E
239,240,2013,3,10,23,93.0,127.0,29.5,73.0,1300.0,103.0,2.3,1015.4,-12.4,0.0,0.8,ESE
240,241,2013,3,11,0,79.0,107.0,29.5,53.0,1100.0,103.0,1.6,1015.2,-11.6,0.0,0.0,E
241,242,2013,3,11,1,69.0,89.0,26.0,38.0,1000.0,103.0,0.5,1015.0,-11.6,0.0,0.5,NE
242,243,2013,3,11,2,91.0,137.0,29.5,81.0,2100.0,103.0,0.1,1014.3,-11.3,0.0,0.9,NNW
